;BB;voc_nb_all;cond;age;zf0_Original;M_minus_NM;Type_protophone;zf0_Original_inv;difference_inv;f0m_NM;is_margbabbling
49;18;42.0;m100;7.166666666666667;-0.1459188187098435;-32.772589702483;R;-0.1459188187098435;-32.772589702483;417.2115181627447;0
50;18;43.0;m100;7.166666666666667;-1.4573122157818337;-25.863450692904223;pB;-1.4573122157818337;-25.863450692904223;295.91857467809615;1
51;18;44.0;m100;7.166666666666667;-1.3219265729517886;-25.443844404265576;V;-1.3219265729517886;-25.443844404265576;308.4406166230092;1
52;18;45.0;m100;7.166666666666667;-0.9486867378816513;-26.863268575255404;V;-0.9486867378816513;-26.863268575255404;342.96218606392694;1
53;18;46.0;m100;7.166666666666667;-0.3224511224736643;-31.90469150388367;V;-0.3224511224736643;-31.90469150388367;400.88375351832315;1
54;18;47.0;m100;7.166666666666667;-1.255018420659895;-14.900182121818432;pB;-1.255018420659895;-14.900182121818432;314.6290622509365;1
55;18;48.0;m100;7.166666666666667;0.20250353870276303;-35.49939167906035;L;0.20250353870276303;-35.49939167906035;449.43767806319397;0
56;18;49.0;m100;7.166666666666667;-0.5696095907102565;-30.704999916205793;V;-0.5696095907102565;-30.704999916205793;378.0236581521974;1
57;18;50.0;m100;7.166666666666667;0.0694960271010562;-33.66026868704512;R;0.0694960271010562;-33.66026868704512;437.1355934074681;0
58;18;51.0;m100;7.166666666666667;-0.09483196190311718;-31.362506164669526;L;-0.09483196190311718;-31.362506164669526;421.93662601314395;0
59;18;52.0;m100;7.166666666666667;0.1867803409050301;-32.05095295449536;L;0.1867803409050301;-32.05095295449536;447.9834135029663;0
60;18;53.0;m100;7.166666666666667;1.5036569950550356;-43.37124350994793;L;1.5036569950550356;-43.37124350994793;569.7835125004918;0
61;18;54.0;m100;7.166666666666667;2.6238341771735527;-34.17660151576865;L;2.6238341771735527;-34.17660151576865;673.3905521171748;0
62;18;55.0;m100;7.166666666666667;2.4976937558851016;-40.97603892865902;L;2.4976937558851016;-40.97603892865902;661.723615998211;0
63;18;56.0;m100;7.166666666666667;;;L;;;;0
64;18;57.0;m100;7.166666666666667;0.8796381372884258;-37.14246233090921;S;0.8796381372884258;-37.14246233090921;512.0669766254181;0
65;18;58.0;m100;7.166666666666667;-1.2752202956642174;-26.170144054976333;pB;-1.2752202956642174;-26.170144054976333;312.76055743106;1
66;18;59.0;m100;7.166666666666667;-1.6648359487131579;-24.281785679507664;Gr;-1.6648359487131579;-24.281785679507664;276.72436151035924;0
67;18;60.0;m100;7.166666666666667;0.6421184019914827;-36.51229786507167;S;0.6421184019914827;-36.51229786507167;490.0983836050589;0
68;18;61.0;m100;7.166666666666667;-1.036695755764763;-29.881865434800773;L;-1.036695755764763;-29.881865434800773;334.822086490397;0
69;18;62.0;m100;7.166666666666667;1.4934278843134323;-41.57689282838976;S;1.4934278843134323;-41.57689282838976;568.8374051357226;0
70;18;63.0;m100;7.166666666666667;1.4588151945706254;-39.63878623167602;S;1.4588151945706254;-39.63878623167602;565.6360202345941;0
71;18;64.0;m100;7.166666666666667;-1.0198000836167478;-28.234929297810368;Gr;-1.0198000836167478;-28.234929297810368;336.3847951417902;0
72;21;9.0;m100;6.466666666666667;-0.5990139058509137;-20.629465662529753;pB;-0.5990139058509137;-20.629465662529753;276.03089452695355;1
73;21;10.0;m100;6.466666666666667;-0.7003030013730323;-24.87049282754319;V;-0.7003030013730323;-24.87049282754319;273.1360734982482;1
74;21;11.0;m100;6.466666666666667;0.39520066732034725;-25.96528693589289;Gr;0.39520066732034725;-25.96528693589289;304.44533774639154;0
75;21;12.0;m100;6.466666666666667;-0.9563078932957667;24.875112622098015;V;-0.9563078932957667;24.875112622098015;265.8195075760307;1
76;21;13.0;m100;6.466666666666667;0.501274119313962;-25.92444340221681;V;0.501274119313962;-25.92444340221681;307.476894675947;1
77;21;14.0;m100;6.466666666666667;-0.7742880731520032;-24.71884769584028;V;-0.7742880731520032;-24.71884769584028;271.0215957206352;1
78;21;15.0;m100;6.466666666666667;-0.6213469873202513;-25.003817387119994;V;-0.6213469873202513;-25.003817387119994;275.3926197596652;1
79;21;16.0;m100;6.466666666666667;-0.6652225243208825;-25.04386238234821;V;-0.6652225243208825;-25.04386238234821;274.1386661479713;1
80;21;17.0;m100;6.466666666666667;-0.18522637119392196;-24.230538952384904;Gr;-0.18522637119392196;-24.230538952384904;287.85685516532874;0
81;21;18.0;m100;6.466666666666667;-0.6212928952380219;-24.55703799933761;V;-0.6212928952380219;-24.55703799933761;275.39416569998895;1
82;21;19.0;m100;6.466666666666667;-0.8265053728702452;-23.77849733446223;V;-0.8265053728702452;-23.77849733446223;269.52923628640997;1
83;21;20.0;m100;6.466666666666667;-1.1952412941269306;-22.097772603902598;V;-1.1952412941269306;-22.097772603902598;258.9908412756677;1
84;21;21.0;m100;6.466666666666667;-1.056474319664595;-22.442363186056383;V;-1.056474319664595;-22.442363186056383;262.95677219540494;1
85;21;22.0;m100;6.466666666666667;-0.7559852078646303;-23.77716967966208;V;-0.7559852078646303;-23.77716967966208;271.544687757802;1
86;21;23.0;m100;6.466666666666667;-1.1426404616083192;-22.93781535320204;pB;-1.1426404616083192;-22.93781535320204;260.494161996594;1
87;21;24.0;m100;6.466666666666667;-0.013722320434157598;-26.70683086859833;Gr;-0.013722320434157598;-26.70683086859833;292.7584048345041;0
88;21;25.0;m100;6.466666666666667;0.15081077541598772;-26.761676406844458;Gr;0.15081077541598772;-26.761676406844458;297.460726079746;0
89;21;26.0;m100;6.466666666666667;-1.4860493511639634;-21.921598334215872;Gr;-1.4860493511639634;-21.921598334215872;250.6796082205368;0
90;21;27.0;m100;6.466666666666667;-0.17727192166365882;-25.326135283071096;Gr;-0.17727192166365882;-25.326135283071096;288.084191658495;0
91;21;28.0;m100;6.466666666666667;-0.38342746403992356;-24.506427690052305;V;-0.38342746403992356;-24.506427690052305;282.1923096530461;1
92;21;29.0;m100;6.466666666666667;0.5795007318757721;-28.340998420255517;Gr;0.5795007318757721;-28.340998420255517;309.7125947962908;0
93;21;30.0;m100;6.466666666666667;0.5386168762710156;-24.85034934211268;Gr;0.5386168762710156;-24.85034934211268;308.5441428091432;0
94;21;31.0;m100;6.466666666666667;-1.2288336817540104;-22.12166118616483;Gr;-1.2288336817540104;-22.12166118616483;258.03077790847084;0
95;23;6.0;m100;6.433333333333334;6.600331230573087;-39.96694824049092;S;6.600331230573087;-39.96694824049092;533.1266989685868;0
96;23;7.0;m100;6.433333333333334;4.042044994651094;-33.52907956888356;S;4.042044994651094;-33.52907956888356;444.2453640724332;0
97;23;8.0;m100;6.433333333333334;5.274997174308902;-36.15636967584044;S;5.274997174308902;-36.15636967584044;487.0812414861323;0
98;23;9.0;m100;6.433333333333334;7.059738802568724;-8.011775141415683;S;7.059738802568724;-8.011775141415683;549.0876800687556;0
99;23;10.0;m100;6.433333333333334;-0.1337785457832879;-25.389244980272622;V;-0.1337785457832879;-25.389244980272622;299.16669173582164;1
100;23;11.0;m100;6.433333333333334;0.42573799414614133;-26.852096787580535;V;0.42573799414614133;-26.852096787580535;318.60571160276083;1
101;23;12.0;m100;6.433333333333334;0.8076337971385472;-28.138350656815646;V;0.8076337971385472;-28.138350656815646;331.87373778551927;1
102;23;13.0;m100;6.433333333333334;1.0481722520678842;-23.019045620645556;V;1.0481722520678842;-23.019045620645556;340.2306521400511;1
103;23;14.0;m100;6.433333333333334;;;S;;;;0
104;23;15.0;m100;6.433333333333334;0.938106270562814;-27.55007716851651;V;0.938106270562814;-27.55007716851651;336.4066815360345;1
105;23;16.0;m100;6.433333333333334;2.5128730104278847;-32.656416985968974;V;2.5128730104278847;-32.656416985968974;391.11806137458797;1
106;23;17.0;m100;6.433333333333334;0.08272324531421171;-25.951868714791658;B;0.08272324531421171;-25.951868714791658;306.68851158926697;1
107;23;18.0;m100;6.433333333333334;0.6090958718839422;-27.560172544414286;Gr;0.6090958718839422;-27.560172544414286;324.97602807017836;0
108;23;19.0;m100;6.433333333333334;0.4248829195594457;-26.762246967464705;V;0.4248829195594457;-26.762246967464705;318.5760041487496;1
109;23;20.0;m100;6.433333333333334;3.0827225693421743;-33.39267351589564;V;3.0827225693421743;-33.39267351589564;410.9160764579286;1
110;23;21.0;m100;6.433333333333334;1.0924100962217176;-28.77672639207293;V;1.0924100962217176;-28.77672639207293;341.76758674342386;1
111;23;22.0;m100;6.433333333333334;6.9207699976105355;-35.9549057431708;S;6.9207699976105355;-35.9549057431708;544.2595522696959;0
112;23;23.0;m100;6.433333333333334;1.4550511067841092;-29.30300762828699;V;1.4550511067841092;-29.30300762828699;354.3666527331055;1
113;23;24.0;m100;6.433333333333334;0.32667594220017576;-26.429401054963876;pB;0.32667594220017576;-26.429401054963876;315.1640453455305;1
114;23;25.0;m100;6.433333333333334;0.16254445997980588;-25.524772118081614;V;0.16254445997980588;-25.524772118081614;309.461702490618;1
115;23;26.0;m100;6.433333333333334;-0.9083850026357214;-23.946622658077104;V;-0.9083850026357214;-23.946622658077104;272.25490409552594;1
116;24;18.0;p100;3.6333333333333333;-0.5100190326413415;-0.41562018377123877;Gr;0.5100190326413415;0.41562018377123877;278.1491398957954;0
117;24;19.0;p100;3.6333333333333333;-0.5579638649795169;26.01784366484725;V;0.5579638649795169;-26.01784366484725;271.4224797800043;1
118;24;20.0;p100;3.6333333333333333;-0.622613630445471;22.436970594767388;pB;0.622613630445471;-22.436970594767388;262.3521174980444;1
119;24;21.0;p100;3.6333333333333333;0.7220333536316208;35.76541366693681;S;-0.7220333536316208;-35.76541366693681;451.00609325526403;0
120;24;22.0;p100;3.6333333333333333;-0.8618790297145005;22.260184303666335;pB;0.8618790297145005;-22.260184303666335;228.78318128820192;1
121;27;7.0;m100;3.5666666666666664;-1.084907519477702;-24.471636196309646;pB;-1.084907519477702;-24.471636196309646;280.2292166260414;1
122;27;8.0;m100;3.5666666666666664;-0.05569824226223474;-25.440221979754767;pB;-0.05569824226223474;-25.440221979754767;305.03729431370704;1
123;27;9.0;m100;3.5666666666666664;-0.16519977233419192;-26.243201415072292;pB;-0.16519977233419192;-26.243201415072292;302.39786759546666;1
124;27;10.0;m100;3.5666666666666664;0.708012262539498;-29.210372725553725;V;0.708012262539498;-29.210372725553725;323.44578513616324;1
125;27;11.0;m100;3.5666666666666664;0.03264361362576335;-25.29480023714791;V;0.03264361362576335;-25.29480023714791;307.16668789036754;1
126;27;12.0;m100;3.5666666666666664;2.3378544531241423;-31.637713451006846;V;2.3378544531241423;-31.637713451006846;362.73152864602685;1
127;31;13.0;m100;3.8;-0.6726408169695531;-21.14310919056237;V;-0.6726408169695531;-21.14310919056237;236.0129667454519;1
128;31;14.0;m100;3.8;-1.080076556162516;-19.533984377952663;Gr;-1.080076556162516;-19.533984377952663;210.33616887721666;0
129;31;15.0;m100;3.8;-0.541668024081614;-21.980786862941358;Gr;-0.541668024081614;-21.980786862941358;244.26693566796988;0
130;31;16.0;m100;3.8;0.026502444448341378;-25.975478442009972;Gr;0.026502444448341378;-25.975478442009972;280.07331412667173;0
131;31;17.0;m100;3.8;-0.9604920769271952;-20.14086014480867;Gr;-0.9604920769271952;-20.14086014480867;217.87244075063052;0
132;31;18.0;m100;3.8;-0.718814817459331;-21.857337557195564;V;-0.718814817459331;-21.857337557195564;233.10305884269349;1
133;31;19.0;m100;3.8;0.7513086697804074;-30.943009761147096;Gr;0.7513086697804074;-30.943009761147096;325.750953938912;0
134;31;20.0;m100;3.8;-0.2630727647876694;-23.125781106170024;V;-0.2630727647876694;-23.125781106170024;261.8241440123054;1
135;31;21.0;m100;3.8;-0.2915891058819377;-20.74571523991807;V;-0.2915891058819377;-20.74571523991807;260.02703036766167;1
136;31;22.0;m100;3.8;;;R;;;;0
137;36;10.0;p100;3.7333333333333334;-1.6641566719472225;21.842594219206376;V;1.6641566719472225;-21.842594219206376;267.20025610944225;1
138;36;11.0;p100;3.7333333333333334;-1.7713763392042194;23.20987099020823;V;1.7713763392042194;-23.20987099020823;259.0488760049811;1
139;36;12.0;p100;3.7333333333333334;-1.0734197647841421;18.31377430666737;Gr;1.0734197647841421;-18.31377430666737;312.1110564804052;0
140;36;13.0;p100;3.7333333333333334;-1.0958904023272633;28.094360619433985;V;1.0958904023272633;-28.094360619433985;310.4027252340069;1
141;36;14.0;p100;3.7333333333333334;-0.37886321611694795;22.896754157236558;Gr;0.37886321611694795;-22.896754157236558;364.91474984254364;0
142;36;15.0;p100;3.7333333333333334;-0.12724892912383223;32.15172762856622;Gr;0.12724892912383223;-32.15172762856622;384.04373751304047;0
143;36;16.0;p100;3.7333333333333334;-1.14377247431048;26.334608146474693;V;1.14377247431048;-26.334608146474693;306.7624885226875;1
144;36;17.0;p100;3.7333333333333334;-1.012929514624935;28.475444686305877;pB;1.012929514624935;-28.475444686305877;316.7098305139019;1
145;36;18.0;p100;3.7333333333333334;1.732774096784826;32.014557996356984;V;-1.732774096784826;-32.014557996356984;525.45207308351;1
146;36;19.0;p100;3.7333333333333334;0.0038194302384255943;28.40729070492233;V;-0.0038194302384255943;-28.40729070492233;394.0082155249805;1
147;36;20.0;p100;3.7333333333333334;1.0464471021235104;-1.0653911837694068;S;-1.0464471021235104;1.0653911837694068;473.2740319408595;0
148;36;21.0;p100;3.7333333333333334;-0.7917496501743402;29.295232481366327;Gr;0.7917496501743402;-29.295232481366327;333.5250398193789;0
149;36;22.0;p100;3.7333333333333334;-0.37061038287495346;30.93155845936218;Gr;0.37061038287495346;-30.93155845936218;365.5421718670215;0
150;36;23.0;p100;3.7333333333333334;0.5255485685003135;35.7635829205596;Gr;-0.5255485685003135;-35.7635829205596;433.67269711073266;0
151;36;24.0;p100;3.7333333333333334;-0.5417518331112949;28.870038569579947;Gr;0.5417518331112949;-28.870038569579947;352.5311352895497;0
152;36;25.0;p100;3.7333333333333334;0.014559789676042094;25.174314492641713;pB;-0.014559789676042094;-25.174314492641713;394.8247518421909;1
153;36;26.0;p100;3.7333333333333334;-1.2497241204570164;27.181772214657997;V;1.2497241204570164;-27.181772214657997;298.7075097811131;1
154;36;27.0;p100;3.7333333333333334;-1.5362539573315963;17.970878739420925;V;1.5362539573315963;-17.970878739420925;276.924065834811;1
155;38;8.0;p100;6.4;0.09108468544954663;32.22398736321361;S;-0.09108468544954663;-32.22398736321361;384.8811258470075;0
156;38;9.0;p100;6.4;-0.27068616595181466;26.599972854700468;Gr;0.27068616595181466;-26.599972854700468;344.88726113408626;0
157;38;10.0;p100;6.4;-0.6193334111838317;22.733373675108396;V;0.6193334111838317;-22.733373675108396;306.3442146052428;1
158;38;11.0;p100;6.4;-1.1881907114025378;23.29169240516461;V;1.1881907114025378;-23.29169240516461;243.4568873985961;1
159;38;12.0;p100;6.4;-1.3722817784912966;22.0758608219665;V;1.3722817784912966;-22.0758608219665;223.10557052636725;1
160;38;13.0;p100;6.4;-1.1251728417400748;24.293865147198176;L;1.1251728417400748;-24.293865147198176;250.42352980224547;0
161;38;14.0;p100;6.4;-1.1773058643489824;15.281580886912963;V;1.1773058643489824;-15.281580886912963;244.66021016159496;1
162;38;15.0;p100;6.4;-0.9926775719894338;25.31950862986173;V;0.9926775719894338;-25.31950862986173;265.07091743168786;1
163;38;16.0;p100;6.4;0.5336464765619181;6.10735403251789;L;-0.5336464765619181;-6.10735403251789;433.8064506273049;0
164;38;17.0;p100;6.4;0.45907011755922816;34.3028475653345;L;-0.45907011755922816;-34.3028475653345;425.56201412507596;0
165;38;18.0;p100;6.4;2.0845695241818074;41.46761779651422;Gr;-2.0845695241818074;-41.46761779651422;605.261409771722;0
166;38;19.0;p100;6.4;-1.324411935974393;21.78700943660772;pB;1.324411935974393;-21.78700943660772;228.39759446371278;1
167;38;20.0;p100;6.4;-1.4031021574387181;22.111619518080857;pB;1.4031021574387181;-22.111619518080857;219.6983693622894;1
168;38;21.0;p100;6.4;-1.2474957849700927;24.043792576896777;pB;1.2474957849700927;-24.043792576896777;236.90069559966307;1
169;38;22.0;p100;6.4;-1.2545588070037894;22.72388825767419;pB;1.2545588070037894;-22.72388825767419;236.1198766182945;1
170;38;23.0;p100;6.4;-1.4900135157463108;21.196453245423157;pB;1.4900135157463108;-21.196453245423157;210.09029537648956;1
171;38;24.0;p100;6.4;-1.0630806521109089;22.80922588077715;Gr;1.0630806521109089;-22.80922588077715;257.2878380297838;0
172;38;25.0;p100;6.4;-0.9723813123371552;24.09431419176758;pB;0.9723813123371552;-24.09431419176758;267.3146743832699;1
173;38;26.0;p100;6.4;-1.2911889464818147;21.720899849205864;pB;1.2911889464818147;-21.720899849205864;232.07040486835996;1
174;38;27.0;p100;6.4;-0.9750593589247782;23.812683867701026;V;0.9750593589247782;-23.812683867701026;267.0186156142856;1
175;45;8.0;p100;6.4;-0.48586294222386334;26.36590360748096;pB;0.48586294222386334;-26.36590360748096;300.1318120026429;1
176;45;9.0;p100;6.4;-0.6027421352774865;27.407111671801886;V;0.6027421352774865;-27.407111671801886;295.01484958783885;1
177;45;10.0;p100;6.4;-0.45122940039160714;27.451771382263814;V;0.45122940039160714;-27.451771382263814;301.64806589879953;1
178;45;11.0;p100;6.4;-0.8914264819141976;22.177141560798134;pB;0.8914264819141976;-22.177141560798134;282.3762702745423;1
179;45;12.0;p100;6.4;-0.875505054837048;26.223955119438642;pB;0.875505054837048;-26.223955119438642;283.0733091727014;1
180;45;13.0;p100;6.4;-0.1578286300878686;24.451054263817923;pB;0.1578286300878686;-24.451054263817923;314.4931298908994;1
181;45;14.0;p100;6.4;0.16101860590286748;28.905490760294867;pB;-0.16101860590286748;-28.905490760294867;328.4522382659908;1
182;45;15.0;p100;6.4;-0.1482508268009514;27.70717100728308;pB;0.1482508268009514;-27.70717100728308;314.9124454093857;1
183;47;12.0;m100;6.3;0.5195954326164823;-11.626816195686615;V;0.5195954326164823;-11.626816195686615;285.11557502060464;1
184;47;13.0;m100;6.3;1.8298751314192667;-12.888893524883485;V;1.8298751314192667;-12.888893524883485;317.60875687005773;1
185;47;14.0;m100;6.3;1.5556541578652698;-13.098367892225838;Gr;1.5556541578652698;-13.098367892225838;310.8084439530786;0
186;47;15.0;m100;6.3;-0.09596033150121533;-11.484064658506156;Gr;-0.09596033150121533;-11.484064658506156;269.8506164012878;0
187;47;16.0;m100;6.3;2.1467197833801843;-14.808150285179693;pB;2.1467197833801843;-14.808150285179693;325.46607993138554;1
188;47;17.0;m100;6.3;2.1238668107482543;-15.921512948105317;V;2.1238668107482543;-15.921512948105317;324.89935681401727;1
189;47;18.0;m100;6.3;1.9741166618966428;-11.865541895330693;L;1.9741166618966428;-11.865541895330693;321.18575366267174;0
190;47;19.0;m100;6.3;1.590992295653687;-12.68791750569369;V;1.590992295653687;-12.68791750569369;311.6847824466302;1
191;47;20.0;m100;6.3;-0.44588483370418663;-11.820061612153012;V;-0.44588483370418663;-11.820061612153012;261.17295735333835;1
192;47;21.0;m100;6.3;-0.024184720594400754;-10.207885911851974;V;-0.024184720594400754;-10.207885911851974;271.630555432383;1
193;47;22.0;m100;6.3;2.1412827538543517;-12.576210790578557;Gr;2.1412827538543517;-12.576210790578557;325.33124888022513;0
194;47;23.0;m100;6.3;0.9138077574152723;-11.655038048950644;V;0.9138077574152723;-11.655038048950644;294.89151276022363;1
195;52;7.0;m100;6.3;-0.25571878954990046;-13.653800041886143;Gr;-0.25571878954990046;-13.653800041886143;346.9456315108939;0
196;52;8.0;m100;6.3;-0.14842354368577804;-13.705580480368837;S;-0.14842354368577804;-13.705580480368837;362.9840994714423;0
197;52;9.0;m100;6.3;-1.2323384504200543;-9.209305841595494;V;-1.2323384504200543;-9.209305841595494;200.96075571925226;1
198;52;10.0;m100;6.3;-0.5824782095981581;-12.783973880097903;L;-0.5824782095981581;-12.783973880097903;298.10171072909026;0
199;52;11.0;m100;6.3;-0.3268925724321092;-14.265526050369601;V;-0.3268925724321092;-14.265526050369601;336.3065912888049;1
200;52;12.0;m100;6.3;1.2188826802371067;-17.997976297559603;Gr;1.2188826802371067;-17.997976297559603;567.3687102529566;0
201;52;13.0;m100;6.3;1.2267601692371297;-20.12528765097136;V;1.2267601692371297;-20.12528765097136;568.5462354444869;1
202;52;14.0;m100;6.3;-0.18565670738730697;-8.936268332223278;V;-0.18565670738730697;-8.936268332223278;357.4184949724968;1
203;52;15.0;m100;6.3;-0.8691705340035003;0.10011788244520403;R;-0.8691705340035003;0.10011788244520403;255.2470099221858;0
204;52;16.0;m100;6.3;-0.8977533018235049;-11.004715627174079;B;-0.8977533018235049;-11.004715627174079;250.97446455251045;1
205;52;17.0;m100;6.3;-0.9870059123523306;-8.969074889535563;R;-0.9870059123523306;-8.969074889535563;237.6330054521261;0
206;52;18.0;m100;6.3;0.026847667255571552;-12.613192179013083;V;0.026847667255571552;-12.613192179013083;389.18359860534866;1
207;52;19.0;m100;6.3;-0.6637501958175278;-12.61962572141016;V;-0.6637501958175278;-12.61962572141016;285.9531934618835;1
208;52;20.0;m100;6.3;-0.535879915394568;-13.191211343691236;V;-0.535879915394568;-13.191211343691236;305.0672127192431;1
209;52;21.0;m100;6.3;-0.7143734439841256;41.06397439775776;V;-0.7143734439841256;41.06397439775776;278.3860423058381;1
210;56;18.0;p100;6.333333333333333;0.5649497642062563;18.033770265326382;Gr;-0.5649497642062563;-18.033770265326382;313.6118429868456;0
